trip_id,arrival_time,departure_time,stop_id,stop_sequence
T0_1,07:00:00,07:00:30,S1,1
T0_1,07:02:00,07:02:30,S2,2
T0_1,07:04:10,07:04:40,S3,3
T0_1,07:06:40,07:07:10,S4,4
T0_1,07:09:00,07:09:30,S5,5
T0_1,07:11:40,07:11:40,S6,6
T0_2,07:05:00,07:05:30,S1,1
T0_2,07:07:00,07:07:30,S2,2
T0_2,07:09:10,07:09:40,S3,3
T0_2,07:11:40,07:12:10,S4,4
T0_2,07:14:00,07:14:30,S5,5
T0_2,07:16:40,07:16:40,S6,6
T1_1,07:00:00,07:00:30,S6,1
T1_1,07:02:40,07:03:10,S5,2
T1_1,07:05:00,07:05:30,S4,3
T1_1,07:07:30,07:08:00,S3,4
T1_1,07:09:40,07:10:10,S2,5
T1_1,07:11:40,07:11:40,S1,6
T1_2,07:05:00,07:05:30,S6,1
T1_2,07:07:40,07:08:10,S5,2
T1_2,07:10:00,07:10:30,S4,3
T1_2,07:12:30,07:13:00,S3,4
T1_2,07:14:40,07:15:10,S2,5
T1_2,07:16:40,07:16:40,S1,6
